Plot_Name	Folder	Tumor_Type	iframe
site_count	STAMPEDE	all	2549
test_volume	STAMPEDE	all	3322
top_gene_count	STAMPEDE/Top_Gene_Count	all	2554
top_gene_count	STAMPEDE/Top_Gene_Count	adrenal	2580
top_gene_count	STAMPEDE/Top_Gene_Count	ampulla of vater	2594
top_gene_count	STAMPEDE/Top_Gene_Count	anus	2610
top_gene_count	STAMPEDE/Top_Gene_Count	appendix	2624
top_gene_count	STAMPEDE/Top_Gene_Count	back	2638
top_gene_count	STAMPEDE/Top_Gene_Count	bone	2650
top_gene_count	STAMPEDE/Top_Gene_Count	breast	2664
top_gene_count	STAMPEDE/Top_Gene_Count	central nervous system (brain/spinal cord)	2680
top_gene_count	STAMPEDE/Top_Gene_Count	cervix	2696
top_gene_count	STAMPEDE/Top_Gene_Count	colon and rectum	2710
top_gene_count	STAMPEDE/Top_Gene_Count	esophagus	2726
top_gene_count	STAMPEDE/Top_Gene_Count	foot	2742
top_gene_count	STAMPEDE/Top_Gene_Count	foreskin	2754
top_gene_count	STAMPEDE/Top_Gene_Count	gallbladder	2768
top_gene_count	STAMPEDE/Top_Gene_Count	hematologic and lymphatic neoplasm	2784
top_gene_count	STAMPEDE/Top_Gene_Count	intrahepatic bile ducts	2798
top_gene_count	STAMPEDE/Top_Gene_Count	kidney	2814
top_gene_count	STAMPEDE/Top_Gene_Count	larynx	2828
top_gene_count	STAMPEDE/Top_Gene_Count	lip and oral cavity	2842
top_gene_count	STAMPEDE/Top_Gene_Count	liver and hepatocellular (liver)	2856
top_gene_count	STAMPEDE/Top_Gene_Count	lung	2872
top_gene_count	STAMPEDE/Top_Gene_Count	lymph node	2888
top_gene_count	STAMPEDE/Top_Gene_Count	mesenteric mass	2904
top_gene_count	STAMPEDE/Top_Gene_Count	nasal cavity and paranasal sinuses	2916
top_gene_count	STAMPEDE/Top_Gene_Count	nasopharynx	2930
top_gene_count	STAMPEDE/Top_Gene_Count	neck	2944
top_gene_count	STAMPEDE/Top_Gene_Count	ocular tumors	2958
top_gene_count	STAMPEDE/Top_Gene_Count	ovary	2972
top_gene_count	STAMPEDE/Top_Gene_Count	pancreas	2986
top_gene_count	STAMPEDE/Top_Gene_Count	penis	3002
top_gene_count	STAMPEDE/Top_Gene_Count	perihilar bile ducts	3016
top_gene_count	STAMPEDE/Top_Gene_Count	peritoneum	3030
top_gene_count	STAMPEDE/Top_Gene_Count	pharynx	3046
top_gene_count	STAMPEDE/Top_Gene_Count	pleura	3060
top_gene_count	STAMPEDE/Top_Gene_Count	prostate gland	3074
top_gene_count	STAMPEDE/Top_Gene_Count	salivary glands	3090
top_gene_count	STAMPEDE/Top_Gene_Count	scalp	3104
top_gene_count	STAMPEDE/Top_Gene_Count	skin	3118
top_gene_count	STAMPEDE/Top_Gene_Count	small intestine	3134
top_gene_count	STAMPEDE/Top_Gene_Count	soft tissue	3150
top_gene_count	STAMPEDE/Top_Gene_Count	stomach	3166
top_gene_count	STAMPEDE/Top_Gene_Count	testes	3182
top_gene_count	STAMPEDE/Top_Gene_Count	thymus	3196
top_gene_count	STAMPEDE/Top_Gene_Count	thyroid	3210
top_gene_count	STAMPEDE/Top_Gene_Count	trachea	3226
top_gene_count	STAMPEDE/Top_Gene_Count	urethra	3238
top_gene_count	STAMPEDE/Top_Gene_Count	urinary bladder	3252
top_gene_count	STAMPEDE/Top_Gene_Count	uterus	3266
top_gene_count	STAMPEDE/Top_Gene_Count	uvea	3280
top_gene_count	STAMPEDE/Top_Gene_Count	vulva	3296
top_variant_count	STAMPEDE/Top_Variant_Count	all	2557
top_variant_count	STAMPEDE/Top_Variant_Count	adrenal	NA
top_variant_count	STAMPEDE/Top_Variant_Count	ampulla of vater	2596
top_variant_count	STAMPEDE/Top_Variant_Count	anus	NA
top_variant_count	STAMPEDE/Top_Variant_Count	appendix	NA
top_variant_count	STAMPEDE/Top_Variant_Count	back	NA
top_variant_count	STAMPEDE/Top_Variant_Count	bone	NA
top_variant_count	STAMPEDE/Top_Variant_Count	breast	2666
top_variant_count	STAMPEDE/Top_Variant_Count	central nervous system (brain/spinal cord)	2682
top_variant_count	STAMPEDE/Top_Variant_Count	cervix	NA
top_variant_count	STAMPEDE/Top_Variant_Count	colon and rectum	2712
top_variant_count	STAMPEDE/Top_Variant_Count	esophagus	2728
top_variant_count	STAMPEDE/Top_Variant_Count	foot	NA
top_variant_count	STAMPEDE/Top_Variant_Count	foreskin	NA
top_variant_count	STAMPEDE/Top_Variant_Count	gallbladder	2770
top_variant_count	STAMPEDE/Top_Variant_Count	hematologic and lymphatic neoplasm	NA
top_variant_count	STAMPEDE/Top_Variant_Count	intrahepatic bile ducts	2800
top_variant_count	STAMPEDE/Top_Variant_Count	kidney	NA
top_variant_count	STAMPEDE/Top_Variant_Count	larynx	NA
top_variant_count	STAMPEDE/Top_Variant_Count	lip and oral cavity	NA
top_variant_count	STAMPEDE/Top_Variant_Count	liver and hepatocellular (liver)	2858
top_variant_count	STAMPEDE/Top_Variant_Count	lung	2874
top_variant_count	STAMPEDE/Top_Variant_Count	lymph node	2890
top_variant_count	STAMPEDE/Top_Variant_Count	mesenteric mass	NA
top_variant_count	STAMPEDE/Top_Variant_Count	nasal cavity and paranasal sinuses	NA
top_variant_count	STAMPEDE/Top_Variant_Count	nasopharynx	NA
top_variant_count	STAMPEDE/Top_Variant_Count	neck	NA
top_variant_count	STAMPEDE/Top_Variant_Count	ocular tumors	NA
top_variant_count	STAMPEDE/Top_Variant_Count	ovary	NA
top_variant_count	STAMPEDE/Top_Variant_Count	pancreas	2988
top_variant_count	STAMPEDE/Top_Variant_Count	penis	NA
top_variant_count	STAMPEDE/Top_Variant_Count	perihilar bile ducts	NA
top_variant_count	STAMPEDE/Top_Variant_Count	peritoneum	3032
top_variant_count	STAMPEDE/Top_Variant_Count	pharynx	NA
top_variant_count	STAMPEDE/Top_Variant_Count	pleura	NA
